Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
81 Alfred Paterson Dr,https://www.zoocasa.com/markham-on-real-estate/81-alfred-paterson-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1d8eb0fd-9109-48bc-a9e5-1d7240a68229.jpg&w=640&q=75,Sold,"$1,348,880","List Price$1,298,000",Sold 11 Days Ago,3 Bed,4 Bath,N/A sqft
717 - 8763 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/717-8763-bayview-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F06daad6c-a427-48bb-a5aa-aa4c6fdb6166.jpg&w=640&q=75,Sold,"$670,000","List Price$599,950",10 days ,1 Bed,1 Bath,600–699 sqft
53 Miley Dr,https://www.zoocasa.com/markham-on-real-estate/53-miley-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F31979f13-f349-4023-b2cb-7b3576125968.jpg&w=640&q=75,Sold,"$1,150,000","List Price$899,000",11 days ,3 Bed,2 Bath,N/A sqft
65 New Haven's Way,https://www.zoocasa.com/markham-on-real-estate/65-new-havens-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,050,000","List Price$1,049,000",11 days ,3 Bed,3 Bath,1400–1599 sqft
726 - 8763 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/726-8763-bayview-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3539ef66-98f1-472e-9474-0d9837239fc6.jpg&w=640&q=75,Sold,"$856,000","List Price$838,000",10 days ,2 Bed,2 Bath,1000–1199 sqft
202 - 320 John St,https://www.zoocasa.com/markham-on-real-estate/202-320-john-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$900,000","List Price$899,000",12 days ,3 Bed,3 Bath,1200–1399 sqft
616 - 8323 Kennedy Rd,https://www.zoocasa.com/markham-on-real-estate/616-8323-kennedy-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$679,000","List Price$638,000",12 days ,1 Bed,1 Bath,500–599 sqft
27 Dancer's Dr,https://www.zoocasa.com/markham-on-real-estate/27-dancers-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,320,890","List Price$998,000",12 days ,3 Bed,4 Bath,N/A sqft
116 - 277 South Park Rd,https://www.zoocasa.com/markham-on-real-estate/116-277-south-park-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F4552f14f-1ab9-43e0-98bc-c4bcf73ebc9f.jpg&w=640&q=75,Sold,"$667,500","List Price$588,888",12 days ,1 Bed,1 Bath,500–599 sqft
59 Ashmore Cres,https://www.zoocasa.com/markham-on-real-estate/59-ashmore-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,531,880","List Price$1,199,000",Sold 12 Days Ago,4 Bed,4 Bath,N/A sqft
45 Courtfield Cres,https://www.zoocasa.com/markham-on-real-estate/45-courtfield-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,130,000","List Price$998,000",12 days ,3 Bed,4 Bath,N/A sqft
99 Gemini Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/99-gemini-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,228,000","List Price$2,290,000",12 days ,5 Bed,5 Bath,2500–3000 sqft
49 Barnstone Dr,https://www.zoocasa.com/markham-on-real-estate/49-barnstone-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,550,000","List Price$1,288,000",12 days ,3 Bed,3 Bath,N/A sqft
302 - 2100 John St,https://www.zoocasa.com/markham-on-real-estate/302-2100-john-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$630,000","List Price$638,000",Sold 12 Days Ago,2 Bed,1 Bath,800–899 sqft
