Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
411 - 189 Lake Driveway Way W,https://www.zoocasa.com/ajax-on-real-estate/411-189-lake-driveway-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$720,000","List Price$499,900",18 days ,2 Bed,2 Bath,900–999 sqft
13 Hirons Dr,https://www.zoocasa.com/ajax-on-real-estate/13-hirons-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,175,000","List Price$949,900",19 days ,3 Bed,3 Bath,N/A sqft
85 Frazer Rd,https://www.zoocasa.com/ajax-on-real-estate/85-frazer-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$939,100","List Price$748,999",19 days ,3 Bed,4 Bath,N/A sqft
3 Silverwood Circ,https://www.zoocasa.com/ajax-on-real-estate/3-silverwood-cir,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,130,000","List Price$899,000",Sold 20 Days Ago,3 Bed,3 Bath,N/A sqft
12 Elliottglen Dr,https://www.zoocasa.com/ajax-on-real-estate/12-elliottglen-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb54bfd92-683f-4805-9eab-254ee99515e6.jpg&w=640&q=75,Sold,"$1,600,000","List Price$1,650,000",17 days ,4 Bed,4 Bath,2500–3000 sqft
201 Old Harwood Ave,https://www.zoocasa.com/ajax-on-real-estate/201-old-harwood-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb9f4ac5b-1e4b-49b1-9047-a61e35cf84d1.jpg&w=640&q=75,Sold,"$950,000","List Price$899,999",13 days ,3 Bed,3 Bath,1500–2000 sqft
32 Farmers Ave,https://www.zoocasa.com/ajax-on-real-estate/32-farmers-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc3edae3a-30d4-4409-b622-8ea4f01a6ad1.jpg&w=640&q=75,Sold,"$905,000","List Price$900,000",14 days ,3 Bed,2 Bath,N/A sqft
134 Large Cres,https://www.zoocasa.com/ajax-on-real-estate/134-large-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Face210d2-27ac-4613-a1f8-37781a36ca0f.jpg&w=640&q=75,Sold,"$1,290,000","List Price$999,000",Sold 14 Days Ago,4 Bed,4 Bath,N/A sqft
38 Anstead Cres,https://www.zoocasa.com/ajax-on-real-estate/38-anstead-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb5b3790a-8ce6-4f38-8d21-1eacbd376126.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,100,000",17 days ,3 Bed,3 Bath,1500–2000 sqft
230 London Lane,https://www.zoocasa.com/ajax-on-real-estate/230-london-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,148,000","List Price$1,199,000",19 days ,3 Bed,3 Bath,N/A sqft
4 Duckfield Cres,https://www.zoocasa.com/ajax-on-real-estate/4-duckfield-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,000,000","List Price$2,149,888",18 days ,4 Bed,5 Bath,N/A sqft
29 Grainger Cres,https://www.zoocasa.com/ajax-on-real-estate/29-grainger-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd46ffec1-7a93-457e-9da6-d8b0bca50cb7.jpg&w=640&q=75,Sold,"$1,365,000","List Price$1,399,900",15 days ,4 Bed,4 Bath,N/A sqft
41 Woolf Cres,https://www.zoocasa.com/ajax-on-real-estate/41-woolf-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F01916073-67d3-4e49-a6ca-77b6210efb59.jpg&w=640&q=75,Sold,"$1,025,000","List Price$998,000",Sold 17 Days Ago,3 Bed,4 Bath,N/A sqft
168 Hurst Dr,https://www.zoocasa.com/ajax-on-real-estate/168-hurst-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F41fd5937-b536-409d-879f-92c567445971.jpg&w=640&q=75,Sold,"$1,060,000","List Price$799,000",14 days ,3 Bed,4 Bath,1500–2000 sqft
67 Hewitt Cres,https://www.zoocasa.com/ajax-on-real-estate/67-hewitt-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$955,000","List Price$969,900",18 days ,3 Bed,3 Bath,N/A sqft
7 Clapperton Dr,https://www.zoocasa.com/ajax-on-real-estate/7-clapperton-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,568,200","List Price$1,568,200",19 days ,4 Bed,5 Bath,2500–3000 sqft
21 Southam St,https://www.zoocasa.com/ajax-on-real-estate/21-southam-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F88dcdbca-0bc2-47d8-8d1b-2bb51b3aba73.jpg&w=640&q=75,Sold,"$999,999","List Price$999,999",15 days ,2 Bed,3 Bath,N/A sqft
