Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
832 Central Park Blvd N,https://www.zoocasa.com/oshawa-on-real-estate/832-central-park-blvd-n,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$887,000","List Price$698,000",5 days ,3 Bed,2 Bath,N/A sqft
751 Elderberry Dr,https://www.zoocasa.com/oshawa-on-real-estate/751-elderberry-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F42304dfa-59e6-459e-aa01-a0551e5b5e3c.jpg&w=640&q=75,Sold,"$856,000","List Price$699,900",Sold 5 Days Ago,3 Bed,3 Bath,N/A sqft
166 Woodlane Crt,https://www.zoocasa.com/oshawa-on-real-estate/166-woodlane-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$990,000","List Price$979,900",Sold 6 Days Ago,4 Bed,3 Bath,2000–2500 sqft
988 Southgate Dr,https://www.zoocasa.com/oshawa-on-real-estate/988-southgate-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fafd25dc6-14a2-4c32-8239-d7295aac0314.jpg&w=640&q=75,Sold,"$755,000","List Price$598,900",5 days ,3 Bed,2 Bath,N/A sqft
426 Oshawa Blvd N,https://www.zoocasa.com/oshawa-on-real-estate/426-oshawa-blvd-n,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$850,000","List Price$599,000",5 days ,4 Bed,2 Bath,N/A sqft
1820 Douglas Langtree Dr,https://www.zoocasa.com/oshawa-on-real-estate/1820-douglas-langtree-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F54bccd5d-916c-434f-8836-23d272a04c23.jpg&w=640&q=75,Sold,"$1,475,000","List Price$1,380,000",4 days ,4 Bed,4 Bath,3000–3500 sqft
883 Deer Valley Dr,https://www.zoocasa.com/oshawa-on-real-estate/883-deer-valley-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbb87732d-23ff-40be-b611-3a02ad1d1564.jpg&w=640&q=75,Sold,"$1,155,000","List Price$1,099,000",Sold 5 Days Ago,3 Bed,4 Bath,2000–2500 sqft
1990 Cocklin Cres,https://www.zoocasa.com/oshawa-on-real-estate/1990-cocklin-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F84a8bdf3-4607-4f66-8d07-e48320edcccc.jpg&w=640&q=75,Sold,"$1,248,000","List Price$997,800",5 days ,4 Bed,3 Bath,2000–2500 sqft
129 Burk St,https://www.zoocasa.com/oshawa-on-real-estate/129-burk-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$320,000","List Price$369,000",5 days ,1 Bed,1 Bath,N/A sqft
160 Sheridan St,https://www.zoocasa.com/oshawa-on-real-estate/160-sheridan-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,065,000","List Price$849,900",5 days ,3 Bed,3 Bath,N/A sqft
